"applicantAge","householdComposition","grossIncome","primaryResidence","homeOwnersInsurance","floodInsurance","ihpEligible","sbaApproved","registrationMethod","homeDamage","destroyed","residenceType"
"35-49","3","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"65+","1","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","5","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49",">5","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","4","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64",">5","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64",">5","$15,000-$30,000","1","0","0","1","0","Call Center","0","0","House/Duplex"
"65+","1","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","5","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","3","$60,001-$120,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"19-34","1","$30,001-$60,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"19-34","5","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","1",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","3","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64",">5","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"50-64","3","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","2","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"35-49","4","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","3","$60,001-$120,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"19-34","3","$120,001-$175,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"35-49","2","$60,001-$120,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"50-64","3","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"50-64","4","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","Mobile Home"
"65+","1","$15,000-$30,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"50-64","4","$60,001-$120,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"50-64","2","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+","2","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","4","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49",">5","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"19-34","4","<$15,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"50-64","4","$60,001-$120,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"50-64","4","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"19-34",">5","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"35-49",">5","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","2","$30,001-$60,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"65+","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","1","<$15,000","1","0","0","1","0","Call Center","1","0","Mobile Home"
"65+","3","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"50-64","2","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64",">5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","4","$30,001-$60,000","1","1","1","1","1","Call Center","1","0","House/Duplex"
"50-64","5","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"35-49","5","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","4","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","5","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","5","$60,001-$120,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"65+","1","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","4","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"65+","2",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","1","<$15,000","1","1","0","1","0","Mobile","1","0","Apartment"
"65+","3","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"19-34",">5","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"65+","2","<$15,000","1","1","0","1","0","Call Center","0","0","House/Duplex"
"35-49","5","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","3","$30,001-$60,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"19-34","3","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","1","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","4","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","4","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49","5","<$15,000","1","0","0","1","0","Call Center","1","0","Mobile Home"
"35-49","4","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"35-49","1","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","1","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","3","$30,001-$60,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"50-64","2","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+","1","$15,000-$30,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"<19",">5","<$15,000","1","0","0","1","0","Mobile","1","0","Mobile Home"
"65+","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49","2","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"50-64","4","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","2","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","1","$60,001-$120,000","1","1","0","1","1","Call Center","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","1","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","Apartment"
"50-64","4","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","$60,001-$120,000","1","1","1","1","0","Mobile","1","0","House/Duplex"
"19-34","1","$30,001-$60,000","1","1","1","1","0","Internet","1","0","Condo"
"50-64","3","$15,000-$30,000","1","1","1","1","0","Call Center","1","0","House/Duplex"
"65+","2","$120,001-$175,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"65+","2","$30,001-$60,000","1","1","1","1","0","Call Center","1","0","House/Duplex"
"35-49","1","$60,001-$120,000","1","0","0","1","0","Call Center","1","0","Apartment"
"19-34","3","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"65+","1","<$15,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"65+","3","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49","2",">$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"19-34","2",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","1",">$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"35-49","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","Condo"
"65+","2","$30,001-$60,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"35-49","4","$120,001-$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"50-64","2","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"35-49","3","$60,001-$120,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"50-64","1","<$15,000","1","0","0","0","0","Call Center","1","0","Other"
"50-64","2","$15,000-$30,000","1","0","0","0","0","Mobile","1","0","Townhouse"
"35-49","4","<$15,000","1","0","0","0","0","Mobile","1","0","Townhouse"
"35-49",">5","$30,001-$60,000","1","1","0","0","0","Call Center","1","0","House/Duplex"
"65+","2","$30,001-$60,000","1","1","1","1","0","Mobile","1","0","House/Duplex"
"50-64","3","<$15,000","1","1","1","0","0","Internet","1","0","House/Duplex"
"35-49","3","$30,001-$60,000","1","1","0","0","0","Mobile","1","0","Townhouse"
"35-49","4","$60,001-$120,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"50-64","3","$30,001-$60,000","1","1","0","0","0","Mobile","1","0","House/Duplex"
"19-34","5","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"19-34","2","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","5","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"35-49",">5","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","3","<$15,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"19-34","5","$60,001-$120,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","3",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","$60,001-$120,000","1","1","0","0","1","Internet","1","0","House/Duplex"
"19-34","4","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"35-49","1","<$15,000","1","0","0","1","0","Internet","1","0","Apartment"
"35-49","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64",">5","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"35-49","4","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"<19","4","<$15,000","1","0","0","0","0","Call Center","1","0","Mobile Home"
"65+","5","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","3","$15,000-$30,000","1","0","1","1","0","Call Center","1","0","House/Duplex"
"65+","3","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"35-49","3","$60,001-$120,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49","4","<$15,000","1","0","1","1","0","Mobile","1","0","House/Duplex"
"35-49","5","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"19-34",">5","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"35-49","3","<$15,000","1","0","0","1","0","Call Center","0","0","House/Duplex"
"50-64","4","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"35-49","4","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"65+","5","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","2","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"35-49",">5",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","3","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"35-49",">5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","1","<$15,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"19-34","1","$15,000-$30,000","1","0","0","0","0","Call Center","0","0","House/Duplex"
"19-34","5","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"<19","4","$30,001-$60,000","1","0","0","0","0","Call Center","1","0","Apartment"
"50-64","2","<$15,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"35-49",">5","$15,000-$30,000","1","0","1","1","0","Call Center","1","0","House/Duplex"
"35-49","3","$30,001-$60,000","1","0","0","1","0","Call Center","1","0","Apartment"
"19-34","5","$15,000-$30,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","2","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"35-49","2","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","3","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"19-34","4","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64",">5","$120,001-$175,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"35-49","2","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"19-34","5","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","Apartment"
"65+","3","<$15,000","1","0","0","0","0","Call Center","1","0","House/Duplex"
"50-64",">5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","5","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"50-64","2","<$15,000","1","0","0","0","0","Call Center","1","0","House/Duplex"
"35-49","2","$30,001-$60,000","1","1","0","0","0","Mobile","1","0","House/Duplex"
"50-64","3","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"19-34","3","<$15,000","1","0","0","0","0","Mobile","1","0","Apartment"
"35-49","5","$120,001-$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"35-49","5","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"50-64","1","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","1","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"19-34",">5","$30,001-$60,000","1","0","0","1","0","Internet","1","0","Mobile Home"
"35-49","4","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"19-34","3","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","2","$30,001-$60,000","1","0","0","0","0","Internet","1","0","Apartment"
"50-64","1","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","1","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+","1","$15,000-$30,000","1","0","0","0","0","Call Center","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","0","0","Internet","1","0","Apartment"
"50-64","2","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","<$15,000","1","0","0","0","0","Call Center","1","0","House/Duplex"
"35-49","5","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","3","$15,000-$30,000","1","0","0","1","0","Internet","1","0","Mobile Home"
"19-34","2","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","Mobile Home"
"50-64","3","$30,001-$60,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"50-64","2","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","1","<$15,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"35-49","3","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","5","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"35-49","4","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49","4","$15,000-$30,000","1","1","0","0","0","Mobile","1","0","House/Duplex"
"35-49","3","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","1","<$15,000","1","0","1","0","0","Call Center","1","0","House/Duplex"
"65+","3","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","1","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"35-49","4","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49",">5","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"35-49","5","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","1","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","4","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"35-49","4","<$15,000","1","0","0","1","0","Mobile","0","0","Apartment"
"35-49","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","3","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","1","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","3","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","3","$60,001-$120,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","4","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"19-34","3","$15,000-$30,000","1","0","0","0","0","Mobile","1","0","Townhouse"
"50-64","1","<$15,000","1","0","0","1","0","Call Center","1","0","Apartment"
"35-49","3","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","2","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","4","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","2","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64",">5","$60,001-$120,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"35-49","3","$30,001-$60,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"50-64","1","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","1","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"50-64","4","$30,001-$60,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"35-49",">5","$120,001-$175,000","1","1","0","0","1","Internet","1","0","House/Duplex"
"35-49","4","$30,001-$60,000","1","0","0","0","0","Internet","1","0","Apartment"
"50-64","2","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"35-49",">5","$15,000-$30,000","1","1","0","1","0","DSAT","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","2","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"35-49","5","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"19-34","5","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","4","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","4","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+","3","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+","3","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","3","$15,000-$30,000","1","0","0","1","0","Internet","1","0","Townhouse"
"19-34","2","$60,001-$120,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","2","<$15,000","1","1","0","0","0","Mobile","1","0","House/Duplex"
"35-49","2","<$15,000","1","0","0","0","0","Call Center","1","0","House/Duplex"
"50-64","3","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","<$15,000","1","0","0","0","0","Internet","1","0","Apartment"
"19-34","4","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"35-49","5","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"19-34","2","$15,000-$30,000","1","0","0","1","0","Internet","0","0","Apartment"
"65+","3","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49","4","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"35-49",">5","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"65+","3","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64",">5","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","2","$60,001-$120,000","1","1","0","1","1","Call Center","1","0","House/Duplex"
"65+","2","$15,000-$30,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"<19","4","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"19-34","2","<$15,000","1","0","0","1","0","Mobile","0","0","Apartment"
"19-34","2","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","Townhouse"
"65+","3","<$15,000","1","0","0","1","0","Call Center","1","0","Apartment"
"65+","1","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"19-34","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64",">5","$60,001-$120,000","1","0","0","0","0","Internet","1","0","Apartment"
"65+","3","$30,001-$60,000","1","1","1","0","0","Internet","1","0","House/Duplex"
"65+","1","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"35-49","5","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","2","$60,001-$120,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","1","0","Internet","1","0","Condo"
"65+","1","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","3","$30,001-$60,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"65+","4","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"35-49","2","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","0","0","Call Center","1","0","Other"
"50-64","2","$15,000-$30,000","1","1","1","0","1","Internet","1","0","House/Duplex"
"50-64","3","$15,000-$30,000","1","0","0","1","0","Internet","1","0","Townhouse"
"50-64","2","$30,001-$60,000","1","1","0","0","1","Call Center","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"65+","1","$15,000-$30,000","1","1","0","1","0","Internet","1","0","Townhouse"
"35-49","5","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64",">5","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"50-64","2","$60,001-$120,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+","4","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49","3","$60,001-$120,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49","5","$30,001-$60,000","1","1","0","0","0","DSAT","1","0","House/Duplex"
"35-49","5","<$15,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"50-64","4","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"35-49","3","$60,001-$120,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","1","$15,000-$30,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"50-64","4","$15,000-$30,000","1","1","0","1","1","Call Center","1","0","House/Duplex"
"35-49","3","$15,000-$30,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"50-64","5","$60,001-$120,000","1","1","0","0","1","Mobile","1","0","House/Duplex"
"65+","3","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"35-49","4","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"19-34",">5","<$15,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"35-49",">5","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"65+","4","$60,001-$120,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"19-34","3","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"65+","1","$120,001-$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"50-64","1","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"50-64","4","$15,000-$30,000","1","1","0","0","0","Mobile","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","0","0","Internet","1","0","Apartment"
"50-64","2","$15,000-$30,000","1","1","1","0","0","Call Center","1","0","House/Duplex"
"65+","4","$15,000-$30,000","1","1","0","0","0","Call Center","1","0","House/Duplex"
"35-49","3","<$15,000","1","0","0","1","0","Internet","1","0","Apartment"
"50-64","3","<$15,000","1","0","0","1","0","Mobile","1","0","Apartment"
"50-64","5","<$15,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"50-64","1","<$15,000","1","0","0","1","0","Call Center","1","0","Apartment"
"19-34","4","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","Apartment"
"65+","1","$120,001-$175,000","1","1","1","1","0","Mobile","1","0","House/Duplex"
"35-49","3","$30,001-$60,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"65+","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","3","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"50-64","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"65+","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+",">5","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+","2","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","1","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"<19","5","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"50-64","5","$60,001-$120,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"19-34","1","$15,000-$30,000","1","0","0","1","0","Mobile","0","0","Apartment"
"50-64","1","$30,001-$60,000","1","0","1","0","0","Internet","0","0","Apartment"
"50-64","2","$30,001-$60,000","1","0","0","1","0","Internet","1","0","Apartment"
"65+","2","$60,001-$120,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+","1","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"35-49","4","$120,001-$175,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"35-49","1","$60,001-$120,000","1","0","0","1","0","Internet","0","0","Apartment"
"35-49","3","<$15,000","1","0","0","1","0","Mobile","1","0","Apartment"
"65+","1","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"19-34","1","<$15,000","1","0","0","0","0","Mobile","1","0","Apartment"
"19-34","1","$15,000-$30,000","1","0","0","0","0","Mobile","1","0","Apartment"
"50-64",">5","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"50-64","2","$15,000-$30,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"65+","2","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"50-64","5","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"65+","1","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
